Ime;Višinska_razlika;Zahtevnost;Čas
Škabrijel;345;lahka označena pot;65
Škabrijel;321;lahka označena pot;50
Škabrijel;330;lahka označena pot;60
Škabrijel;552;lahka označena pot;120
Škavnica;500;lahka označena pot;75
Škol;236;lahka označena pot;40
Školj sv. Pavla nad Vrtovinom;180;lahka označena pot;35
Školj sv. Pavla nad Vrtovinom;305;lahka označena pot;60
Školj sv. Pavla nad Vrtovinom;305;lahka neoznačena steza;60
Školj sv. Pavla nad Vrtovinom;332;lahka označena pot;65
Skozno;375;lahka označena pot;60
Skozno;415;lahka označena pot;120
Skrivski izvir;340;lahka označena pot;90
Slap Kotel;25;lahka označena pot;35
Slap potoka Struga;42;lahka označena pot;15
Slavnik;510;lahka označena pot;100
Slavnik;510;lahka označena pot;75
Slavnik;465;lahka označena pot;90
Slavnik;650;lahka označena pot;210
Slavnik;575;lahka označena pot;120
Slavnik;500;lahka neoznačena steza;150
Slavnik;500;lahka neoznačena steza, lahka označena pot;150
Slivnica;534;lahka označena pot;100
Slivnica;514;lahka označena pot;75
Slivnica;494;lahka označena pot;75
Slivnica;474;lahka označena pot;135
Slivnica;350;lahka označena pot;80
Slivnica;535;lahka neoznačena steza;90
Smrekov vrh;162;zelo zahtevna neoznačena steza;120
Snežnik;600;lahka označena pot;120
Snežnik;336;lahka označena pot;55
Snežnik;1050;lahka označena pot;195
Snežnik;425;lahka označena pot;85
Snežnik;450;lahka označena pot;90
Snežnik;580;lahka označena pot;135
Snežnik;525;lahka označena pot;100
Snežnik;640;lahka označena pot;115
Snežnik;560;lahka označena pot;115
Snežnik;840;lahka označena pot;240
Sončnica (Reber);447;lahka označena pot;70
Sončnica (Reber);340;lahka označena pot;80
Sončnica (Reber);590;lahka neoznačena steza;105
Soteska Pekel 3. slap;125;delno zahtevna označena pot;25
Soteska Pekel 5. slap;220;zahtevna označena pot;75
Soteska Pekel 5. slap;300;lahka označena pot;90
Špičasti vrh;426;lahka označena pot;75
Špičasti vrh;320;lahka neoznačena steza;90
Špičasti vrh;325;lahka označena pot;90
Špiček (Špečk);359;lahka neoznačena steza;55
Špiček (Špečk);370;lahka neoznačena steza;70
Špiček (Špečk);160;lahka označena pot;45
Špilnik;293;lahka označena pot;40
Špilnik;189;lahka označena pot;30
Srednja gora (Hrušica);500;lahka označena pot;90
Srednja gora (Hrušica);550;lahka označena pot;105
Srednji Golak;550;lahka označena pot;110
Srednji Golak;265;lahka označena pot;75
Srednji Golak;420;lahka neoznačena steza;105
Srednji vrh pri Kozleku;495;lahka označena pot;85
Srednji vrh pri Kozleku;103;lahka označena pot;40
Štanjel (Sveti Danijel);147;lahka označena pot;60
Stanov rob;131;lahka neoznačena steza;35
Stanov rob;280;lahka neoznačena steza;70
Stari grad;253;lahka neoznačena steza;40
Stari grad nad Želimljami;245;lahka neoznačena steza;50
Stari grad Vipava;137;lahka označena pot;20
Stari tabor;193;lahka označena pot;70
Stari tabor;200;lahka označena pot;45
Stari tabor;164;lahka označena pot;45
Stari tabor;210;lahka označena pot;75
Stari tabor;190;lahka neoznačena steza;50
Štivanski log;15;lahka neoznačena steza;20
Stjenkova koča na Trstelju;210;lahka označena pot;45
Stjenkova koča na Trstelju;400;lahka označena pot;125
Stjenkova koča na Trstelju;230;lahka označena pot;35
Stjenkova koča na Trstelju;335;lahka označena pot;115
Stjenkova koča na Trstelju;165;lahka označena pot;30
Stjenkova koča na Trstelju;625;lahka označena pot;175
Stjenkova koča na Trstelju;725;lahka označena pot;245
Stjenkova koča na Trstelju;640;lahka označena pot;185
Stol (Črni hribi);675;lahka označena pot;220
Stolovec;600;lahka označena pot;195
Streliški vrh (Hrušica);500;lahka označena pot;90
Streliški vrh (Hrušica);480;lahka označena pot;80
Strmica;60;lahka neoznačena steza;10
Strunjanske soline;100;lahka označena pot;90
Strunjanske soline;20;lahka označena pot;70
Strunjanski križ;15;lahka označena pot;45
Strunjanski križ;55;lahka označena pot;20
Strunjanski križ;100;lahka označena pot;210
Suhi vrh (Nanos);1000;delno zahtevna označena pot;205
Suhi vrh (Nanos);700;lahka označena pot;150
Suhi vrh (Nanos);700;lahka označena pot;135
Suhi vrh (Nanos);785;lahka označena pot;240
Suhi vrh (Nanos);700;lahka označena pot;220
Suhi vrh (Nanos);625;lahka označena pot;205
Suhi vrh (Nanos);700;lahka označena pot;235
Suhi vrh (Nanos);625;lahka označena pot;190
Suhi vrh (Nanos);1065;lahka označena pot;265
Suhi vrh (Nanos);1065;lahka označena pot;250
Sv. Katarina nad Novokračinami;80;lahka označena pot;30
Sv. Katarina nad Novokračinami;140;lahka neoznačena steza;40
Sveta Ana;192;lahka označena pot;30
Sveta Ana;184;lahka označena pot;30
Sveta Ana;84;lahka označena pot;20
Sveta Ana (Razguri);400;lahka neoznačena steza;120
Sveta Barbara (Ravnik pri Hotedršici);180;lahka označena pot;35
Sveta Gora;361;lahka označena pot;55
Sveta Gora;370;delno zahtevna označena pot;60
Sveta Gora;361;lahka označena pot;60
Sveta Gora;381;lahka neoznačena steza, lahka označena pot;80
Sveta Gora;395;lahka označena pot;75
Sveta Gora;400;lahka označena pot;85
Sveta Gora;400;lahka označena pot;90
Sveta Gora;630;lahka označena pot;125
Sveta Gora;820;lahka neoznačena steza;185
Sveta Gora;855;lahka neoznačena steza;195
Sveta Gora;410;lahka označena pot;90
Sveta Gora;755;lahka neoznačena steza;175
Sveta Gora;400;lahka neoznačena steza;75
Sveta Marija Magdalena (Gore);195;lahka označena pot;60
Sveta Marija Magdalena (Gore);200;lahka označena pot;70
Sveta Marija na Planinski gori;262;lahka neoznačena steza;40
Sveta Marija na Planinski gori;250;lahka neoznačena steza;75
Sveta Marija na Planinski gori;324;lahka neoznačena steza;45
Sveta Marija na Planinski gori;324;lahka neoznačena steza;45
Sveta Trojica;486;lahka označena pot;80
Sveta Trojica;286;lahka označena pot;45
Sveta Trojica;600;lahka označena pot;135
Sveta Trojica;525;lahka označena pot;160
Sveti Ambrož (Tabor);160;lahka neoznačena steza;45
Sveti Ambrož (Tabor);160;lahka neoznačena steza;50
Sveti Bric (Nanos);301;lahka označena pot;45
Sveti Bric (Nanos);385;lahka neoznačena steza;90
Sveti Duh (Hrušica);423;lahka označena pot;75
Sveti Duh (Hrušica);600;lahka označena pot;135
Sveti Duh (Pedrovo);290;lahka označena pot;60
Sveti Duh (Pedrovo);305;lahka označena pot;70
